"cluster_code","province_name","district","n","n_str","max_str","n_hh","max_hh","n_dwelling","n_non_dwelling","n_subs"
"1","AJK","Bhimber",212,209,209,170,170,173,39,1
"100","AJK","Bagh",249,234,234,233,233,237,12,1
"111","AJK","Haveli",85,85,85,78,78,78,7,1
"113","AJK","Haveli",204,204,204,186,186,188,16,1
"128","AJK","Poonch",211,206,206,206,206,207,4,1
"130","AJK","Poonch",268,223,223,214,214,220,48,1
"131","AJK","Poonch",121,114,114,121,121,121,0,1
"132","AJK","Poonch",82,64,64,82,82,82,0,1
"136","AJK","Sudhnooti",242,240,240,242,242,242,0,1
"140","AJK","Sudhnooti",209,208,208,199,199,199,10,1
"187","Balochistan","Mastung",52,52,52,52,52,52,0,1
"19","AJK","Kotli",288,287,287,288,288,288,0,1
"2","AJK","Bhimber",147,136,136,144,144,145,2,1
"20","AJK","Kotli",201,152,152,191,191,191,10,1
"21","AJK","Kotli",161,154,154,157,157,157,4,1
"285","Balochistan","Sohbatpur",109,108,108,109,109,109,0,1
"286","Balochistan","Sohbatpur",116,113,113,116,116,116,0,1
"298","Balochistan","Pishin",47,21,21,44,23,44,3,2
"302","Balochistan","Quetta",175,174,174,175,175,175,0,1
"32","AJK","Mirpur",335,314,314,264,264,272,63,1
"352","Balochistan","Kharan",11,11,1,8,1,8,3,11
"39","AJK","Mirpur",512,396,396,469,434,480,32,2
"404","Balochistan","Dera Bugti",20,15,9,20,10,20,0,2
"405","Balochistan","Dera Bugti",35,34,17,35,18,35,0,2
"417","Balochistan","SIBI",92,75,75,92,92,92,0,1
"43","AJK","Mirpur",329,329,329,306,306,324,5,1
"44","AJK","Mirpur",259,253,253,247,247,252,7,1
"447","Balochistan","Zhob",307,164,1,306,3,306,1,164
"464","Balochistan","Loralai",86,86,2,86,2,86,0,85
"465","Balochistan","Loralai",117,117,1,111,1,112,5,117
"51","AJK","Jhelum Vellay",304,304,304,207,207,207,97,1
"52","AJK","Jhelum Vellay",211,211,211,98,99,98,113,1
"568","Gilgit Baltistan","Diamer",151,147,147,151,151,151,0,1
"575","Gilgit Baltistan","Diamer",143,100,100,125,125,125,18,1
"576","Gilgit Baltistan","Diamer",251,164,164,247,247,247,4,1
"59","AJK","Muzaffarabad",288,1,1,257,257,260,28,1
"61","AJK","Muzaffarabad",259,231,231,252,252,252,7,1
"622","Gilgit Baltistan","Nagar",147,1,1,147,147,147,0,1
"625","Khyber PakhtunKhwa","Bannu ",357,171,171,357,357,357,0,1
"628","Khyber PakhtunKhwa","Bannu ",155,82,82,155,155,155,0,1
"631","Khyber PakhtunKhwa","Bannu ",321,288,288,321,321,321,0,1
"637","Khyber PakhtunKhwa","Bannu ",403,247,247,403,403,403,0,1
"643","Khyber PakhtunKhwa","Lakki Marwat",75,66,66,60,60,75,0,1
"644","Khyber PakhtunKhwa","Lakki Marwat",110,96,96,110,110,110,0,1
"649","Khyber PakhtunKhwa","Lakki Marwat",95,79,79,95,95,95,0,1
"650","Khyber PakhtunKhwa","Lakki Marwat",87,80,80,87,87,87,0,1
"655","Khyber PakhtunKhwa","Lakki Marwat",119,113,113,117,117,118,1,1
"656","Khyber PakhtunKhwa","Lakki Marwat",91,86,86,91,91,91,0,1
"661","Khyber PakhtunKhwa","Lakki Marwat",211,211,211,204,204,211,0,1
"662","Khyber PakhtunKhwa","Lakki Marwat",70,60,60,70,70,70,0,1
"67","AJK","Muzaffarabad",442,325,325,439,439,439,3,1
"673","Khyber PakhtunKhwa","DI Khan",155,144,144,152,152,152,3,1
"674","Khyber PakhtunKhwa","DI Khan",146,127,127,113,113,117,29,1
